column,dtype,n_missing,missing_%,n_unique,min,q25,median,mean,q75,max,true_count,false_count
serial,object,0,0.0,382.0,,,,,,,,
serial_norm,object,0,0.0,382.0,,,,,,,,
relation_type,object,0,0.0,1.0,,,,,,,,
color,object,0,0.0,4.0,,,,,,,,
cycle_id,int64,0,0.0,,0,0.0,1.0,1.5803940647044514,2.0,21,,
points_used,int64,0,0.0,,1,26.0,30.0,43.50741911943566,31.0,711,,
slope_pct_per_day,float64,2109,51.3,,-17.9504,-0.691225,-0.36485,-0.6284946053946054,-0.2056,-0.1,,
level_now_pct,float64,0,0.0,,0.0,0.0,1.0,16.556555582583314,20.0,100.0,,
days_left_est,float64,2109,51.3,,0.0,0.0,0.0,61.654595404595405,94.15,300.0,,
last_seen,datetime64[ns],0,0.0,610.0,2023-02-28 00:00:00,,,,,2025-10-05 00:00:00,,
stockout_date,datetime64[ns],2109,51.3,727.0,2023-03-09 00:00:00,,,,,2026-08-01 00:00:00,,
offset_days,Int64,0,0.0,,-11,-8.0,0.0,-4.149355387983459,0.0,1,,
reorder_date,datetime64[ns],2109,51.3,831.0,2023-03-08 00:00:00,,,,,2026-08-12 00:00:00,,
should_order_now,bool,0,0.0,2.0,,,,,,,951.0,3160.0
