column,dtype,n_missing,missing_%,n_unique,min,q25,median,mean,q75,max,true_count,false_count
serial,object,0,0.0,11.0,,,,,,,,
serial_norm,object,0,0.0,11.0,,,,,,,,
relation_type,object,0,0.0,1.0,,,,,,,,
color,object,0,0.0,4.0,,,,,,,,
cycle_id,int64,0,0.0,,0,0.0,1.0,0.87,1.0,5,,
points_used,int64,0,0.0,,1,28.75,29.0,44.81,31.0,245,,
slope_pct_per_day,float64,57,57.0,,-3.5815,-0.86075,-0.4115,-0.6699813953488373,-0.27305,-0.1056,,
level_now_pct,float64,0,0.0,,0.0,0.0,1.0,21.94,45.0,93.0,,
days_left_est,float64,57,57.0,,0.0,0.0,32.9,76.34186046511627,131.14999999999998,300.0,,
last_seen,object,0,0.0,34.0,,,,,,,,
stockout_date,datetime64[ns],57,57.0,40.0,2023-12-04 00:00:00,,,,,2026-08-01 00:00:00,,
offset_days,int64,0,0.0,,-11,-8.0,0.0,-3.78,0.0,1,,
reorder_date,datetime64[ns],57,57.0,42.0,2023-12-04 00:00:00,,,,,2026-08-12 00:00:00,,
should_order_now,bool,0,0.0,2.0,,,,,,,16.0,84.0
