column,dtype,n_missing,missing_%,n_unique,min,max,q25,median,mean,q75
serial,object,0,0.0,382.0,,,,,,
company,object,0,0.0,1.0,,,,,,
ip,object,0,0.0,486.0,,,,,,
date_update,datetime64[ns],0,0.0,952.0,2023-01-24 00:00:00,2025-10-05 00:00:00,,,,
date_import,datetime64[ns],0,0.0,913.0,2023-02-08 00:00:00,2025-10-05 00:00:00,,,,
pct,int64,0,0.0,,0,100,5.0,43.0,42.87223153319589,75.0
color,object,0,0.0,4.0,,,,,,
pct_diff,float64,1528,0.16,,-100.0,100.0,0.0,0.0,0.048330936178434196,0.0
is_reset,int64,0,0.0,,0,1,0.0,0.0,0.002767931006399568,0.0
cycle_id,Int64,0,0.0,,0,21,0.0,1.0,1.1639883924782572,1.0
