column,dtype,n_missing,missing_%,n_unique,min,max,q25,median,mean,q75
No article,object,0,0.0,165.0,,,,,,
Date compta,datetime64[ns],0,0.0,441.0,2023-01-04 00:00:00,2025-10-05 00:00:00,,,,
No document,datetime64[ns],5536,100.0,0.0,,,,,,
Quantite,int64,0,0.0,,-40,8,-1.0,-1.0,-1.4221459537572254,-1.0
No. contrat,object,3644,65.82,475.0,,,,,,
No. serie,object,61,1.1,863.0,,,,,,
Designation,object,0,0.0,200.0,,,,,,
Fabricant,object,4,0.07,6.0,,,,,,
Type conso,object,60,1.08,11.0,,,,,,
Type conso general,object,5515,99.62,5.0,,,,,,
Capacite,int64,0,0.0,,5000,861000,30000.0,46000.0,43678.22434971098,50000.0
Source conso,object,5515,99.62,1.0,,,,,,
Societe,object,0,0.0,1.0,,,,,,
