column,dtype,n_missing,missing_%,n_unique,min,max,q25,median,mean,q75
No serie,object,38847,2.51,4149.0,,,,,,
Date import,datetime64[ns],0,0.0,919.0,2023-02-08 08:11:00,2025-10-05 15:01:00,,,,
Date update,datetime64[ns],249,0.02,63763.0,2022-10-11 14:37:00,2025-10-05 14:48:00,,,,
Adresse IP,object,249,0.02,3755.0,,,,,,
Mac adresse,object,24150,1.56,4273.0,,,,,,
% noir,int64,0,0.0,,0,100,0.0,0.0,26.069036640651344,60.0
% cyan,int64,0,0.0,,0,100,0.0,0.0,18.574097807452155,23.0
% magenta,int64,0,0.0,,0,100,0.0,0.0,19.111513621547456,25.0
% jaune,int64,0,0.0,,0,100,0.0,0.0,19.34297463538282,26.0
Societe,object,0,0.0,1.0,,,,,,
