column,dtype,n_missing,missing_%,n_unique,min,max,q25,median,mean,q75
No serie,object,30353,57.91,2793.0,,,,,,
No contrat,object,0,0.0,3028.0,,,,,,
Date debut,datetime64[ns],1,0.0,1202.0,2001-04-01 00:00:00,2053-01-01 00:00:00,,,,
Date fin,datetime64[ns],0,0.0,1154.0,2000-03-26 00:00:00,2053-03-31 00:00:00,,,,
Source,object,3945,7.53,422.0,,,,,,
Debut A4 NB,int64,0,0.0,,0,5408536,0.0,0.0,30755.724577402983,5069.75
Fin A4 NB,int64,0,0.0,,0,5679126,1.0,1.0,32801.378830083566,6778.0
Debut A4 CO,int64,0,0.0,,0,5499847,0.0,0.0,19175.491052009005,103.0
Fin A4 CO,int64,0,0.0,,0,6667188,0.0,0.0,20824.508680886785,1119.25
Debut SC,int64,0,0.0,,0,0,0.0,0.0,0.0,0.0
Fin SC,int64,0,0.0,,0,0,0.0,0.0,0.0,0.0
Debut A3 NB,int64,0,0.0,,0,99380,0.0,0.0,80.23682603884458,0.0
Fin A3 NB,int64,0,0.0,,0,99380,0.0,0.0,79.6179455870569,0.0
Debut A3 CO,int64,0,0.0,,0,375110,0.0,0.0,282.52993475025755,0.0
Fin A3 CO,int64,0,0.0,,0,421534,0.0,0.0,283.6989544778113,0.0
Date releve,datetime64[ns],3146,6.0,1058.0,2000-02-22 00:00:00,2030-02-23 00:00:00,,,,
Societe,object,0,0.0,1.0,,,,,,
