column,dtype,n_missing,missing_%,n_unique,min,q25,median,mean,q75,max
serial,object,0,0.0,275.0,,,,,,
color,object,0,0.0,3.0,,,,,,
level_now_pct,float64,0,0.0,,0.0,1.0,1.0,2.989484752891693,4.0,35.0
days_left_est,float64,0,0.0,,0.0,0.0,0.0,0.1947423764458465,0.0,9.0
stockout_date,datetime64[ns],0,0.0,411.0,2023-03-09 00:00:00,,,,,2025-10-13 00:00:00
relation_type,object,0,0.0,1.0,,,,,,
sku,float64,951,100.0,,,,,,,
qty,int64,0,0.0,,1,1.0,1.0,1.0,1.0,1
priority,object,0,0.0,1.0,,,,,,
action,object,0,0.0,1.0,,,,,,
