column,dtype,n_missing,missing_%,n_unique,min,q25,median,mean,q75,max
column,object,0,0.0,4.0,,,,,,
dtype,object,0,0.0,3.0,,,,,,
n_missing,int64,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
missing_%,float64,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
n_unique,float64,3,75.0,,4.0,4.0,4.0,4.0,4.0,4.0
min,float64,1,25.0,,0.0,0.0,0.0,314.0,471.0,942.0
q25,float64,1,25.0,,19.275,102.2625,185.25,386.925,570.75,956.25
median,float64,1,25.0,,26.35,141.925,257.5,420.1166666666666,617.0,976.5
mean,float64,1,25.0,,22.15,129.95,237.75,429.2166666666667,632.75,1027.75
q75,float64,1,25.0,,29.225,169.6125,310.0,462.4083333333333,679.0,1048.0
max,float64,1,25.0,,35.9,235.95,436.0,562.6333333333333,826.0,1216.0
