,No serie,Date import,Date update,Adresse IP,Mac adresse,% noir,% cyan,% magenta,% jaune,Societe
count,1509215,1548062,1547813,1547813,1523912,1548062.0,1548062.0,1548062.0,1548062.0,1548062
unique,4149,919,63763,3755,4273,,,,,1
top,3NP03120,09/09/25 15:02,13/05/25 16:21,192.168.1.222,34:9F:7B:D0:30:CD,,,,,ADEXGROUP
freq,2124,7711,18590,23704,2124,,,,,1548062
mean,,,,,,26.069036640651344,18.574097807452155,19.111513621547456,19.34297463538282,
std,,,,,,36.54854667958111,32.49135346039649,33.013421242637044,33.338381446051834,
min,,,,,,0.0,0.0,0.0,0.0,
25%,,,,,,0.0,0.0,0.0,0.0,
50%,,,,,,0.0,0.0,0.0,0.0,
75%,,,,,,60.0,23.0,25.0,26.0,
max,,,,,,100.0,100.0,100.0,100.0,
