serial,serial_norm,color,last_seen,stockout_date,reorder_date,last_ship_date,cycle_id,points_used,slope_pct_per_day,level_now_pct,days_left_est,offset_days,should_order_now,slope_7d,slope_14d,slope_30d,var_14d,cycle_age_days,points_in_cycle,days_since_reset,pct,mean_ship_interval,n_ships_180d,err_days
115552,115552,black,2024-10-20,,,2025-05-23,0,4,,0.0,,0,False,-0.2857142857142857,-0.35714285714285715,-0.43103448275862066,0.24725274725288302,131,130,131.0,45,70.0,2.0,67.0
115552,115552,black,2024-10-20,,,2025-05-23,0,4,,0.0,,0,False,-0.2857142857142857,-0.35714285714285715,-0.43103448275862066,0.24725274725288302,131,130,131.0,45,70.0,2.0,-3.0
115552,115552,black,2025-03-17,2025-03-17,2025-03-17,2025-05-23,1,31,-0.9867,1.0,0.0,0,True,-0.2857142857142857,-0.35714285714285715,-0.43103448275862066,0.24725274725288302,131,130,131.0,45,70.0,2.0,67.0
115552,115552,black,2025-03-17,2025-03-17,2025-03-17,2025-05-23,1,31,-0.9867,1.0,0.0,0,True,-0.2857142857142857,-0.35714285714285715,-0.43103448275862066,0.24725274725288302,131,130,131.0,45,70.0,2.0,-3.0
115552,115552,black,2025-05-26,2025-05-26,2025-05-26,2025-05-23,2,29,-1.0199,10.0,0.0,0,True,-0.2857142857142857,-0.35714285714285715,-0.43103448275862066,0.24725274725288302,131,130,131.0,45,70.0,2.0,67.0
115552,115552,black,2025-05-26,2025-05-26,2025-05-26,2025-05-23,2,29,-1.0199,10.0,0.0,0,True,-0.2857142857142857,-0.35714285714285715,-0.43103448275862066,0.24725274725288302,131,130,131.0,45,70.0,2.0,-3.0
115552,115552,black,2025-10-05,2025-12-21,2025-12-21,2025-05-23,3,29,-0.4528,45.0,77.3,0,False,-0.2857142857142857,-0.35714285714285715,-0.43103448275862066,0.24725274725288302,131,130,131.0,45,70.0,2.0,67.0
115552,115552,black,2025-10-05,2025-12-21,2025-12-21,2025-05-23,3,29,-0.4528,45.0,77.3,0,False,-0.2857142857142857,-0.35714285714285715,-0.43103448275862066,0.24725274725288302,131,130,131.0,45,70.0,2.0,-3.0
115554,115554,cyan,2024-10-23,,,2025-06-19,0,25,,0.0,,1,False,-0.42857142857142855,-0.35714285714285715,-0.3448275862068966,0.40109890109901897,95,94,95.0,73,,1.0,-11.0
115554,115554,cyan,2025-07-01,2025-07-01,2025-06-30,2025-06-19,1,31,-0.8524,1.0,0.0,1,True,-0.42857142857142855,-0.35714285714285715,-0.3448275862068966,0.40109890109901897,95,94,95.0,73,,1.0,-11.0
115554,115554,cyan,2025-10-05,2026-03-23,2026-03-22,2025-06-19,2,29,-0.3708,73.0,169.9,1,False,-0.42857142857142855,-0.35714285714285715,-0.3448275862068966,0.40109890109901897,95,94,95.0,73,,1.0,-11.0
115554,115554,magenta,2024-10-23,,,2025-05-12,0,25,,0.0,,-8,False,-0.5714285714285714,-0.42857142857142855,-0.3793103448275862,0.4175824175826111,141,140,141.0,57,,1.0,-12.0
115554,115554,magenta,2025-05-16,2025-05-16,2025-05-24,2025-05-12,1,29,-1.0742,1.0,0.0,-8,True,-0.5714285714285714,-0.42857142857142855,-0.3793103448275862,0.4175824175826111,141,140,141.0,57,,1.0,-12.0
115554,115554,magenta,2025-10-05,2026-01-28,2026-02-05,2025-05-12,2,29,-0.4073,57.0,115.4,-8,False,-0.5714285714285714,-0.42857142857142855,-0.3793103448275862,0.4175824175826111,141,140,141.0,57,,1.0,-12.0
