serial,color,level_now_pct,days_left_est,stockout_date,relation_type,sku,qty,priority,action
$X6GN008763$,cyan,0.0,0.0,2023-03-09,contrat_adex,,1,HIGH,CREATE_ORDER
$X6GN008763$,magenta,0.0,0.0,2023-03-09,contrat_adex,,1,HIGH,CREATE_ORDER
$KNDY16397$,black,0.0,0.0,2023-03-14,contrat_adex,,1,HIGH,CREATE_ORDER
$X74R003821$,cyan,1.0,0.0,2023-03-27,contrat_adex,,1,HIGH,CREATE_ORDER
$X6GN015861$,black,1.0,0.0,2023-03-28,contrat_adex,,1,HIGH,CREATE_ORDER
$X6GN015861$,cyan,2.0,0.0,2023-03-28,contrat_adex,,1,HIGH,CREATE_ORDER
$X6GN015861$,magenta,4.0,0.0,2023-03-28,contrat_adex,,1,HIGH,CREATE_ORDER
$KNDY16327$,black,0.0,0.0,2023-03-29,contrat_adex,,1,HIGH,CREATE_ORDER
$KNDY16327$,cyan,0.0,0.0,2023-03-29,contrat_adex,,1,HIGH,CREATE_ORDER
$KNDY16327$,magenta,0.0,0.0,2023-03-29,contrat_adex,,1,HIGH,CREATE_ORDER
$X6GN014159$,black,1.0,0.0,2023-03-30,contrat_adex,,1,HIGH,CREATE_ORDER
$X6GN014159$,cyan,10.0,0.0,2023-03-30,contrat_adex,,1,HIGH,CREATE_ORDER
$X74R003821$,magenta,4.0,0.0,2023-04-27,contrat_adex,,1,HIGH,CREATE_ORDER
$X74R003821$,black,6.0,0.0,2023-04-28,contrat_adex,,1,HIGH,CREATE_ORDER
$X6GN008216$,black,1.0,0.0,2023-05-26,contrat_adex,,1,HIGH,CREATE_ORDER
$X576086397$,cyan,1.0,0.0,2023-06-13,contrat_adex,,1,HIGH,CREATE_ORDER
$3NP03120$,black,0.0,0.0,2023-06-22,contrat_adex,,1,HIGH,CREATE_ORDER
$X6GN009512$,black,1.0,0.0,2023-06-25,contrat_adex,,1,HIGH,CREATE_ORDER
$X6GN008216$,magenta,7.0,0.0,2023-07-11,contrat_adex,,1,HIGH,CREATE_ORDER
$X6GN009498$,cyan,3.0,0.0,2023-07-21,contrat_adex,,1,HIGH,CREATE_ORDER
$X6GN009073$,black,1.0,0.0,2023-07-25,contrat_adex,,1,HIGH,CREATE_ORDER
$X576097348$,black,1.0,0.0,2023-08-19,contrat_adex,,1,HIGH,CREATE_ORDER
$3GL04033$,black,0.0,0.0,2023-09-19,contrat_adex,,1,HIGH,CREATE_ORDER
$3MV01311$,cyan,1.0,0.0,2023-09-22,contrat_adex,,1,HIGH,CREATE_ORDER
$35N00736$,black,1.0,0.0,2023-09-26,contrat_adex,,1,HIGH,CREATE_ORDER
$KNDY16327$,black,10.0,0.0,2023-09-26,contrat_adex,,1,HIGH,CREATE_ORDER
$35N00736$,cyan,2.0,0.0,2023-09-27,contrat_adex,,1,HIGH,CREATE_ORDER
$35N00736$,magenta,1.0,0.0,2023-09-27,contrat_adex,,1,HIGH,CREATE_ORDER
$3MV01315$,black,3.0,0.0,2023-09-27,contrat_adex,,1,HIGH,CREATE_ORDER
$3MV01311$,magenta,3.0,0.0,2023-09-29,contrat_adex,,1,HIGH,CREATE_ORDER
$3MV01311$,black,15.0,6.5,2023-10-05,contrat_adex,,1,HIGH,CREATE_ORDER
$X6GN008354$,magenta,10.0,0.0,2023-10-10,contrat_adex,,1,HIGH,CREATE_ORDER
$X6GN014200$,black,2.0,0.0,2023-10-11,contrat_adex,,1,HIGH,CREATE_ORDER
$3MV01315$,magenta,0.0,0.0,2023-10-31,contrat_adex,,1,HIGH,CREATE_ORDER
$35N00736$,black,1.0,0.0,2023-11-06,contrat_adex,,1,HIGH,CREATE_ORDER
$35N00736$,cyan,5.0,0.0,2023-11-08,contrat_adex,,1,HIGH,CREATE_ORDER
$35N00736$,magenta,1.0,0.0,2023-11-08,contrat_adex,,1,HIGH,CREATE_ORDER
