serial;serial_norm;relation_type;color;cycle_id;points_used;slope_pct_per_day;level_now_pct;days_left_est;last_seen;stockout_date;offset_days;reorder_date;should_order_now;rs_n_cycles;rs_mean_cycle_len_days;rs_max_cycle_len_days;rs_last_seen;rs_last_reset;rs_days_since_last_reset;rs_has_reset;us_mean_daily_pct_drop;us_median_daily_pct_drop;us_peak_daily_pct_drop;us_mean_pct_drop_per_cycle;us_has_usage_data;m_total_pages;m_n_records;m_ratio_color;m_ratio_a3;m_daily_mean;m_daily_std;m_total_pages_last30;m_total_pages_last7;month;dayofweek;week;ml_offset_days_v21;last_seen_dt;stockout_date_ml_v21;days_left_ml_v21;reference_date;days_left_v21
$$;$$;contrat_adex;black;115;491;-0.6695;0.0;0.0;2025-12-30 14:41:00;2025-12-30;0;2025-12-30;True;116;10.35344827586207;996;2025-12-30 14:41:00;2025-12-25 22:22:00;4.0;1;0.0;0.0;0.0;85.09482758620689;1.0;;;;;;;;;12;1;1;-0.0025490876;2025-12-30 14:41:00;2025-12-29 23:56:19.758828881;0.0;2025-12-30 14:41:00;0.0
$$;$$;contrat_adex;cyan;116;491;-0.5361;0.0;0.0;2025-12-30 14:41:00;2025-12-30;1;2025-12-29;True;117;10.102564102564102;665;2025-12-30 14:41:00;2025-12-25 22:22:00;4.0;1;0.0;0.0;0.0;82.86324786324786;1.0;;;;;;;;;12;1;1;0.98601747;2025-12-30 14:41:00;2025-12-30 23:39:51.909027096;0.0;2025-12-30 14:41:00;0.0
$$;$$;contrat_adex;magenta;118;491;-0.555;0.0;0.0;2025-12-30 14:41:00;2025-12-30;-8;2026-01-07;True;119;9.932773109243698;665;2025-12-30 14:41:00;2025-12-25 22:22:00;4.0;1;0.0;0.0;0.0;83.10924369747899;1.0;;;;;;;;;12;1;1;-7.990565;2025-12-30 14:41:00;2025-12-22 00:13:35.199279789;0.0;2025-12-30 14:41:00;0.0
$$;$$;contrat_adex;yellow;122;491;-0.522;0.0;0.0;2025-12-30 14:41:00;2025-12-30;-11;2026-01-10;False;123;9.642276422764228;665;2025-12-30 14:41:00;2025-12-25 22:22:00;4.0;1;0.0;0.0;0.0;82.95934959349593;1.0;;;;;;;;;12;1;1;-10.984467;2025-12-30 14:41:00;2025-12-19 00:22:22.089843748;0.0;2025-12-30 14:41:00;0.0
$210239$;$210239$;contrat_adex;black;2;31;-1.1145;8.0;7.2;2025-12-30 14:38:00;2026-01-06;0;2026-01-06;True;3;59.0;133;2025-12-30 14:38:00;2025-08-20 14:38:00;132.0;1;1.047337278106509;0.0;42.0;59.666666666666664;1.0;;;;;;;;;12;1;1;-1.0062788;2025-12-30 14:38:00;2026-01-04 23:50:57.515716557;5.0;2025-12-30 14:38:00;4.0
$210239$;$210239$;contrat_adex;magenta;1;31;-0.7452;1.0;1.3;2025-12-30 14:38:00;2025-12-31;-8;2026-01-08;False;2;88.5;176;2025-12-30 14:38:00;2025-07-08 14:38:00;175.0;1;0.5411764705882353;0.0;28.0;46.5;1.0;;;;;;;;;12;1;1;-3.1631234;2025-12-30 14:38:00;2025-12-27 20:05:06.140899660;0.0;2025-12-30 14:38:00;0.0
$210240$;$210240$;contrat_adex;cyan;2;31;-0.8879;1.0;1.1;2025-12-30 14:38:00;2025-12-31;1;2025-12-30;True;3;58.666666666666664;93;2025-12-30 14:38:00;2025-10-10 14:38:00;81.0;1;1.087719298245614;0.0;11.0;62.0;1.0;;;;;;;;;12;1;1;-2.1869555;2025-12-30 14:38:00;2025-12-28 19:30:47.048950199;0.0;2025-12-30 14:38:00;0.0
$3356552759$;$3356552759$;contrat_adex;black;1;30;-2.4146;6.0;2.5;2025-12-30 14:17:00;2026-01-02;0;2026-01-02;True;2;73.5;106;2025-12-30 14:17:00;2025-11-20 14:17:00;40.0;1;0.6285714285714286;0.0;8.0;39.5;1.0;;;;;;;;;12;1;1;-2.787611;2025-12-30 14:17:00;2025-12-30 05:05:50.408935550;0.0;2025-12-30 14:17:00;0.0
$3392613691$;$3392613691$;contrat_adex;black;1;331;-0.7225;24.0;33.2;2025-02-28 13:06:00;2025-04-02;0;2025-04-02;False;2;322.5;586;2025-02-28 13:06:00;2024-12-31 14:38:00;58.0;1;0.08415841584158416;0.0;4.0;24.0;1.0;;;;;;;;;2;4;9;-1.4341305;2025-02-28 13:06:00;2025-03-31 13:34:51.120529179;31.0;2025-02-28 13:06:00;0.0
$3392613691$;$3392613691$;contrat_adex;cyan;1;331;-0.5651;82.0;145.1;2025-02-28 13:06:00;2025-07-23;1;2025-07-22;False;2;322.5;610;2025-02-28 13:06:00;2025-01-24 14:37:00;34.0;1;0.05408388520971302;0.0;3.0;9.0;1.0;;;;;;;;;2;4;9;1.034432;2025-02-28 13:06:00;2025-07-24 00:49:34.929428102;145.0;2025-02-28 13:06:00;0.0
$3392613691$;$3392613691$;contrat_adex;magenta;1;331;-0.3812;74.0;194.1;2025-02-28 13:06:00;2025-09-10;-8;2025-09-18;False;2;322.5;594;2025-02-28 13:06:00;2025-01-08 14:38:00;50.0;1;0.05077262693156733;0.0;3.0;13.0;1.0;;;;;;;;;2;4;9;-5.8460646;2025-02-28 13:06:00;2025-09-04 03:41:40.021362307;187.0;2025-02-28 13:06:00;0.0
$3392613934$;$3392613934$;contrat_adex;black;1;328;-0.4382;81.0;184.9;2025-03-03 11:12:00;2025-09-04;0;2025-09-04;False;2;321.5;609;2025-03-03 11:12:00;2025-01-28 14:34:00;33.0;1;0.06051873198847262;0.0;3.0;9.5;1.0;;;;;;;;;3;0;10;-1.1719289;2025-03-03 11:12:00;2025-09-02 19:52:25.344543456;183.0;2025-03-03 11:12:00;0.0
$3392613934$;$3392613934$;contrat_adex;cyan;1;328;-0.4739;50.0;105.5;2025-03-03 11:12:00;2025-06-16;1;2025-06-15;False;2;321.5;581;2025-03-03 11:12:00;2024-12-31 14:33:00;61.0;1;0.06340057636887608;0.0;2.0;15.0;1.0;;;;;;;;;3;0;10;-0.18338613;2025-03-03 11:12:00;2025-06-15 19:35:55.438184737;104.0;2025-03-03 11:12:00;0.0
$3392613934$;$3392613934$;contrat_adex;magenta;0;328;-0.3669;22.0;60.0;2025-03-03 11:12:00;2025-05-02;-8;2025-05-10;False;1;643.0;643;2025-03-03 11:12:00;;;0;0.043227665706051875;0.0;2.0;0.0;1.0;;;;;;;;;3;0;10;-8.173099;2025-03-03 11:12:00;2025-04-23 19:50:44.284057622;51.0;2025-03-03 11:12:00;0.0
